"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"110";"480851";"YES";"Stowe";2010;"UK";"Cochrane Database of
Systematic Reviews";"Evaluation of the efficacy and safety of adjuvant treatment to
levodopa therapy in Parkinson´ s disease patients with motor
complications";29;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"off-time reduction";"Benefits of the three classes of drugs (dopamine agonists, COMTIs and
MAOBIs) in Parkinson’s disease patients suffering from motor complications";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"mean off-time reduction";"Adjusted indirect comparison (Bucher)";"Arm";"29";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Fixed-effect";"No";"NA";"NR";"Peto";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"Parkinson’s Disease Society, UK";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"111";"480926";"YES";"Messori";2015;"Italy";"Annals of Hematology";"First-line treatments for chronic lymphocytic leukaemia:
interpreting efficacy data by network meta-analysis";9;"NR";8;"Unclear";"1 (pharmacological vs pharmacological)";"Yes";"Unclear";"Unclear";"progression-free
rates at 3 years";"Effectiveness of treatments for chronic lymphocytic leukaemia";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"patients without progression at 3 years";"Bayesian Hierarchical Model";"Arm";"8";"1";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"To carry out our analysis, firstly, we separately ran the fixed-effect and the random-effect models. According to the deviance information criterion, the fixed-effect model showed a better fit than the random-effect one. Therefore, our study was based on the results generated by the former.";"Unclear";"NR";"NA";"Unclear";"No";"NA";"Rankograms";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"112";"480931";"YES";"Rochwerg";2014;"Canada";"Annals of Internal Medicine";"Fluid Resuscitation in Sepsis: A Systematic Review and Network Meta-analysis";13;"13";4;"crystalloids";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - lump doses";"90-day mortality";"The effect of different resuscitative fluids on
mortality in patients with sepsis";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"proportion of ill patients with severe sepsis or septic shock";"Bayesian Hierarchical Model";"Arm";"12";"1";"0";"0";"0";"Full Network";"1";"Loop-specific";"Yes";"Yes";"indirect estimates were potentially
rated down for intransitivity";"Fixed-effect";"No";"NA";"NR";"NA";"Unclear";"No";"NA";"NA";"Subset";"No";"Yes";"Authors were contacted to obtain any missing data";"Hamilton Chapter of the Canadian
Intensive Care Foundation, the Critical Care Medicine Residency
Program and Critical Care Division Alternate Funding Plan";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"113";"480935";"YES";"Dal Molin";2014;"Italy";"The Journal of Vascular Access";"Flushing the central venous catheter: is heparin necessary?";8;"14";5;"herapin";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - lump doses";"occlusion of catheter";"Efficacy of heparin flushing in the lock of central venous
catheters";"Effectiveness";"Harmful";"Binary";"Semi-objective";"odds ratio";"adult patients with central venous catheter";"Bayesian Hierarchical Model";"Arm";"7";"1";"0";"0";"0";"Full Network";"1";"Design by treatment";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NA";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"114";"480967";"YES";"Sun";2015;"China";"Diabetes Technology & Therapeutics";"Gastrointestinal Adverse Events
of Glucagon-Like Peptide-1 Receptor
Agonists in Patients with Type 2 Diabetes:
A Systematic Review and Network Meta-Analysis";60;"26";26;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"incidence of nausea";"Frequency of GI-related events with glucagon-like peptide-1 receptor agonists for the treatment of type 2 diabetes mellitus";"Safety";"Harmful";"Binary";"Subjective";"odds ratio";"patients with nausea";"Bayesian Hierarchical Model";"Arm";"47";"13";"8";"2";"1";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NA";"Unclear";"No";"NA";"SUCRA; rankograms";"Subset";"No";"No";"NA";"the National Natural
Science Foundation of China, the Beijing Natural Science Foundation, the Research Fund for the Doctoral Program
of Higher Education, and the
Doctoral Fund of Corps";"Publicly-sponsored";NA;NA;NA;NA;"long";0;1;"""After removing comparisons with missing treatment effects or standard errors,\n  the following studies have a wrong number of comparisons: '41', '42'\n";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"115";"481009";"YES";"Ziakas";2014;"USA";"PLOS ONE";"Graft-Versus-Host Disease Prophylaxis after Transplantation: A Network
Meta-Analysis";33;"13";13;"CsA/MTX";"1 (pharmacological vs pharmacological)";"Yes";"No";"NA";"grade II-IV acute GvHD";"Comparative efficacy of immunospressant protocols for GvHD prophylaxis after hematopoietic stem cell transplantation";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"reduction in grade II-IV acute GvHD";"NR";"Arm";"33";"0";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with previously published results";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"Yes";"Harbord-Egger test";"NA";"Subset";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"117";"481107";"YES";"Wang";2015;"USA";"Supportive Care in Cancer";"The impact of primary prophylaxis with granulocyte
colony-stimulating factors on febrile neutropenia
during chemotherapy: a systematic review and meta-analysis
of randomized controlled trials";30;"NR";5;"no primary G-CSF / placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - Lump doses and meta-regressions";"febrile
neutropenia risk for all chemotherapy
cycles without adjustment for
relative dose intensity";"Efficacy of granulocyte colony-stimulating factor (G-CSF) products administered
as primary prophylaxis (PP) to patients with cancer
receiving myelosuppressive chemotherapy";"Effectiveness";"Harmful";"Binary";"Semi-objective";"odds ratio";"patients with febrile
neutropenia";"Bayesian Hierarchical Model";"Arm";"30";"0";"0";"0";"0";"Full Network";"2";"Inconsistency model";"Yes";"Yes";"NR";"Random effects";"No";"common within-network";"priors were predefined and then up- dated by using the data from the literature review";"NA";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"Amgen Inc";"Funding source not reported";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"119";"481109";"YES";"Trinquart";2012;"France";"PLOS ONE";"Impact of Reporting Bias in Network Meta-Analysis of
Antidepressant Placebo-Controlled Trials";74;"13";13;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"depression severity score";"Impact of antidepressant drugs";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"standardized mean difference";"change from baseline to follow-up in
depression score";"Bayesian Hierarchical Model";"Study";"74";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"trial similarity";"Random effects";"No";"NR";"NR";"NA";"Unclear";"Yes";"contour enhanced funnel plots";"SUCRA; Probability of being the best";"Subset";"No";"No";"NA";"French Ministry of Health Programme Hospitalier de Recherche Clinique National and European Union Seventh Framework Programme";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"120";"481118";"YES";"Mealing";2014;"UK";"Systematic Reviews";"The importance of baseline viral load when assessing relative efficacy in treatment-naïve HBeAg-positive chronic hepatitis B: a systematic review and network meta-analysis";13;"8";8;"Entecavir 0.5 mg";"1 (pharmacological vs pharmacological)";"No";"No";"NA";"Undetectable hepatitis B virus (HBV)
DNA at 1 year";"Efficacy of interventions for chronic hepatitis B (CHB)";"Effectiveness";"Harmful";"Binary";"Objective";"risk ratio";"number of hepatitis B e
antigen (HBeAg)-positive patients";"Bayesian Hierarchical Model";"Arm";"14";"0";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with previously published results";"Yes";"Yes";"trials are sufficiently similar on study and patient characteristics";"Both FE and RE";"""Fixed effect models were used in the unadjusted analysis. For the adjusted analyses we used both fixed and random effects models, and final model choice in all analyses was based on deviance information criteria (DIC)""";"Unclear";"NR";"NA";"Yes";"No";"NA";"Probability of being the best";"Subset";"Yes";"No";"NA";"Bristol-Myers Squibb";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"121";"481140";"YES";"Kunitomi";2013;"Japan";"British Journal of Clinical
Pharmacology";"Indirect comparison analysis
of efficacy and safety
between olanzapine
and aripiprazole for schizophrenia";20;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"symptoms of schizophrenia";"Efficacy between
aripiprazole and olanzapine for schizophrenia";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"change from baseline in the Positive and Negative Syndrome Scale (PANSS)";"Adjusted indirect comparison (Bucher)";"Arm";"19";"1";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"NA";"Yes";"NR";"Random effects";"No";"NR";"NR";"NA";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"None";"Funding source not reported";NA;NA;NA;NA;"long";0;1;"""Non-numeric value for argument 'sd'.""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"122";"481147";"YES";"Galvan-Banqueri";2015;"Spain";"Farmacia Hospitalaria";"Indirect comparison for Anti-TNF drugs in moderate to
severe ulcerative colitis";5;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"clinical remission";"Comparative efficacy of anti-TNG agents in ulcerative colitis";"Effectiveness";"Beneficial";"Binary";"Objective";"risk ratio";"clinical remission in induction period (week 6-8)";"Adjusted indirect comparison (Bucher)";"Arm";"6";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"patients had similar baseline
characteristics";"Both FE and RE";"fixed-effect model, in the absence of heterogeneity";"in the absence of heterogeneity";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"123";"481150";"YES";"Laporte";2014;"France";"Thrombosis and Haemostasis";"Indirect comparison meta-analysis of two enoxaparin regimens in patients undergoing major orthopaedic surgery. Impact on the interpretation of thromboprophylactic effects of new anticoagulant drugs.";44;"11";11;"enoxaparin 3000 anti-Xa IU/enoxaparin 4000 anti-Xa IU";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - split doses";"incidence of venous thomboembolism definition 1   (""the composite of asymptomatic, systematically detected proximal DVT, symptomatic DVT (whether distal or proximal), symptomatic PE and death related to VTE "")";"Efficacy of treatments for venous
thromboembolism prophylaxis";"Effectiveness";"Harmful";"Binary";"Objective";"relative risk";"proportion of patients
undergoing hip (THR) or knee (TKR) replacement or hip fracture
surgery (HFS)";"Adjusted indirect comparison (Bucher)";"Arm";"40";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"In the absence of any clear explanation for heterogeneity, a random-effects model for the RR was planned instead of a fixed-effect model.";"Unclear";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"Programme Hospitalier de Recherche Clinique 2008";"Publicly-sponsored";NA;NA;NA;NA;"long";0;1;"Non-numeric value for argument 'event'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"125";"481159";"YES";"Ellis";2014;"USA";"Current Medical Research & Opinion";"Indirect comparison of bazedoxifene vs oral bisphosphonates for the prevention of vertebral fractures in postmenopausal osteoporotic women";8;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"incidence vertebral fractures";"Efficacy of bazedoxifene with oral bisphosphonates for 
postmenopausal osteoporotic (PMO) women and in higher-risk patients";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"proportion of patients with vertebral fractures";"Bayesian Hierarchical Model";"Arm";"8";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"Extending NMA models with treatment-by-covariate
interactions allows  the
impact of bias due to any differences in the distribution
of relative treatment-effect modifiers to be reduced";"Both FE and RE";"""For each analysis, fixed and random effects models were compared regarding the goodness-of-fit to the data, using the deviance information criterion (DIC). The fixed effects model resulted in a lower DIC, and hence was considered appropriate for the synthesis of the available evidence""";"Unclear";"uniform distribution with
a (non-informative) range of 0–2";"NA";"Yes";"No";"NA";"Probability of being the best";"Subset";"No";"No";"NA";"Pfizer Inc";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"126";"481163";"YES";"Gallego-Galisteo";2012;"Spain";"Journal of Clinical Pharmacy and Therapeutics";"Indirect comparison of biological treatments in refractory rheumatoid arthritis";10;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"response to treatment (ACR50)";"Efficacy of biological drugs used in rheumatoid arthritis";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"risk difference";"number of patients achieving ACR50 (50% reduction in painful/swollen joints) at 24 week follow-up";"Adjusted indirect comparison (Bucher)";"Arm";"10";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"studies were basically
similar in terms of methodology and the type of patients
included";"Fixed-effect";"No";"NA";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"127";"481174";"YES";"Mantha";2015;"USA";"Journal of Thrombosis and Thrombolysis";"Indirect comparison of dabigatran, rivaroxaban, apixaban
and edoxaban for the treatment of acute venous thromboembolism";6;"5";5;"warfarin/VKA";"1 (pharmacological vs pharmacological)";"No";"No";"NA";"recurrent venous thromboembolism";"Efficacy to prevent recurrent VTE (including
death from VTE) between dabigatran, rivaroxaban, apixaban
or edoxaban";"Effectiveness";"Harmful";"Survival";"Objective";"risk ratio";"patients with recurrent venous thromboembolism";"Adjusted indirect comparison (Bucher)";"Study";"6";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"patient characteristics
were similar across all studies";"Fixed-effect";"No";"NA";"null (Fixed effect)";"Inverse Variance Method";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"128";"481193";"YES";"Moore";2005;"UK";"BMC Urology";"Indirect comparison of interventions using published randomised
trials: systematic review of PDE-5 inhibitors for erectile dysfunction";45;"10";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses and sensitivity analyses";"Improved erection dysfunction";"Efficacy between phosphodiesterase-5 inhibitors";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"patients with erection dysfunction";"NR";"Arm";"36";"0";"0";"1";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Fixed-effect";"No";"NA";"null (Fixed effect)";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"Pfizer Ltd";"Industry-sponsored";NA;NA;NA;NA;"long";0;1;"Non-numeric value for argument 'event'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"129";"481195";"YES";"Fournier";2014;"France";"German Medical Science";"Indirect comparison of lixisenatide versus neutral protamine Hagedorn insulin as add-on to metformin and sulphonylurea in patients with type 2 diabetes mellitus";7;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"weight change";"Efficacy of treatment outcomes with lixisenatide versus neutral protamine Hagedorn (NPH)-insulin in type 2 diabetes mellitus (T2DM) patients with suboptimal glycaemic control with oral antidiabetic drugs (OADs)";"Effectiveness";"Beneficial";"Continuous";"Objective";"mean change";"difference in weight from baseline to follow-up";"Adjusted indirect comparison (Bucher)";"Arm";"7";"0";"0";"0";"0";"Full Network";"1";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Random effects";"As heterogeneity tests were sometimes statistically significant, exclusively random effects results were systematically used as inputs for indirect comparisons.";"Unclear";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NA";"Subset";"No";"Yes";"missing standard deviations
(SDs) or SEs were requested from the corresponding
author";"Sanofi-Aventis";"Industry-sponsored";NA;NA;NA;NA;"long";0;1;"Non-numeric value for argument 'sd'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"130";"481200";"YES";"Wu";2013;"Taiwan";"Alimentary Pharmacology & Therapeutics";"Indirect comparison of randomised controlled trials:
comparative efficacy of dexlansoprazole vs. esomeprazole in
the treatment of gastro-oesophageal reflux disease";5;"4";4;"Lansoprazole 30 mg";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - split doses";"healing erosive
oesophagitis (EO)";"Efficacy for erosive
oesophagitis healing";"Effectiveness";"Beneficial";"Binary";"Objective";"risk ratio";"the complete healing rate of patients with baseline EO at Los Angeles (LA) grade A, B, C and D at 8 weeks";"Adjusted indirect comparison (Bucher)";"Arm";"3";"2";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"Mantel Haenszel";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"Takeda Pharmaceutical Company Limited";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"131";"481216";"YES";"Bergman";2010;"The Netherlands";"Seminars in Arthritis and Rheumatism";"Indirect Comparison of Tocilizumab and Other
Biologic Agents in Patients with Rheumatoid Arthritis and
Inadequate Response to Disease-Modifying Antirheumatic Drugs";18;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"ACR criteria for 50% clinical improvement (ACR20) were 20% improvement";"Efficacy of American College of Rheumatology (ACR) response to
tocilizumab with those of other biologic agents in patients
with rheumatoid arthritis who have inadequate response to disease-modifying antirheumatic drugs";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"risk ratio";"ACR 50%  response criteria from baseline to month 6";"Bayesian Hierarchical Model";"Arm";"17";"1";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"the trial populations included
in this analysis were comparable";"Both FE and RE";"Assessment of residual deviance for the ACR70 response showed no appreciable difference between random- and fixed-effects assumptions; hence, a fixed-effects model was chosen. Because residual deviance analyses are not commonly accepted, to be definitive we also report results under the random-effects assumptions. For the other (overlapping and nonoverlapping) response ACR categories, a conservative random-effects model was more appropriate.";"Unclear";"noninformative prior";"NA";"Unclear";"No";"NA";"NA";"All";"No";"Yes";"last observation carried
forward";"Hoffmann La-Roche";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"132";"481236";"YES";"Zagmutt";2012;"USA";"International Journal of Neuroscience";"Indirect Comparisons of Adverse Events and Dropout
Rates in Early Parkinson’s Disease Trials of Pramipexole,
Ropinirole, and Rasagiline";6;"7";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Total Adverse Events";"Comparison of adverse events
among clinical trials reporting
the safety profiles of pramipexole, ropinirole, and rasagiline
";"Safety";"Harmful";"Binary";"Semi-objective";"odds ratio";"patients with adverse events";"Bayesian Hierarchical Model; Bucher method";"Arm";"6";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"only the results from the fixed-effects Bayesian model are reported as they are appropriate in a small study setting";"Unclear";"NR";"NA";"Unclear";"No";"NA";"NA";"All";"No";"No";"NA";"Teva Neuroscience, Inc";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"133";"481263";"YES";"GUYOT";2012;"UK";"The Journal of Rheumatology";"Indirect treatment comparison of abatacept with methotrexate versus other biologic agents for active rheumatoid arthritis despite methotrexate therapy in the United Kingdom";11;"7";7;"placebo in combination with methotrexate
";"2 (pharmacological vs placebo)";"Yes";"No";"NA";"Health Assessment Questionnaire (HAQ) change from baseline";"Efficacy of abatacept and alternative biologic disease-modifying
antirheumatic drugs in patients with rheumatoid arthritis";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"mean Health Assessment Questionnaire (HAQ) change from baseline at 6 months";"Bayesian Hierarchical Model";"Arm";"10";"1";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"The clinical trials were similar in trial
design, baseline patient characteristics, and background therapy";"Both FE and RE";"either a fixed effect or a random effects model was chosen, depending on the heterogeneity as assessed by the deviance informa- tion criteria";"Unclear";"non informative
prior distribution";"NA";"Unclear";"No";"NA";"NA";"Subset";"No";"Yes";"When no information about the uncertainty was
available, the average of all the other SD explicitly reported was imputed to the missing SD";"Bristol-Myers Squibb";"Industry-sponsored";NA;NA;NA;NA;"long";0;1;"object 'n' not found";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"137";"481323";"YES";"Mills";2014;"USA";"Lancet HIV";"Interventions to promote adherence to antiretroviral therapy in Africa: a network meta-analysis";13;"10";10;"standard of care (SOC)";"3 (non-pharmacological vs any)";"Yes";"No";"NA";"Adherence to treatment";"Effectiveness of different interventions for improving Adherence in HIV-infected people living in Africa";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"proportion of patients had at least 3 months to follow-up";"Bayesian Hierarchical Model";"Arm";"11";"2";"1";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR";"Unclear";"No";"Unclear";"priors were normally distributed centred at zero with wide variance";"NA";"Yes";"No";"NA";"NA";"All";"No";"Yes";"Authors were contacted to obtain any missing data";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"138";"481354";"YES";"Haspinger";2015;"Italy";"Critical Reviews in Oncology/Hematology";"Is there evidence for different effects among EGFR-TKIs? Systematicreview and meta-analysis of EGFR tyrosine kinase inhibitors (TKIs)versus chemotherapy as first-line treatment for patients harboring EGFR mutations";9;"NR";4;"chemotherapy alone";"1 (pharmacological vs pharmacological)";"No";"Unclear";"Unclear";"PFS";"Effectiveness of 3 EGFR tyrosine kinase inhibitors to standard chemotherapy as up-front treatment in patients with advanced EGFR-positive NSCLC";"Effectiveness";"Beneficial";"Survival";"Objective";"hazard ratio";"NR";"Adjusted indirect comparison (Bucher)";"Arm";"9";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"139";"481378";"YES";"Alfirevic";2014;"UK";"British Medical Journal";"Labour induction with prostaglandins: a systematic review and network meta-analysis";94;"13";13;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split and lump doses in ranges";"vaginal delivery not achieved within 24-hours";"Effectiveness of prostaglandins used for labour induction";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"womens with Vaginal delivery not achieved within 24-hours";"Bayesian Hierarchical Model";"Arm";"89";"5";"0";"0";"0";"Full Network";"Unclear";"Comparison of model fit and parsimony (DIC)";"Yes";"Yes";"similar distribution of characteristics was
observed for failure to achieve vaginal delivery within
24 hours";"Both FE and RE";"model fit";"Unclear";"Vague prior distributions";"ΝΑ";"Yes";"No";"ΝΑ";"Probability of being the best, second best, etc.";"Subset";"No";"No";"ΝΑ";"National Institute for Health Research";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"140";"481384";"YES";"Schoenberg";2013;"Germany";"Annals of Surgery";"Laparoscopic Heller myotomy versus endoscopic balloon dilatation for the treatment of achalasia: a network meta-analysis.";16;"4";4;"EBD";"3 (non-pharmacological vs any)";"No";"No";"NA";"Success Rates at 12 months";"Effects after laparoscopic Heller myotomy (LHM)";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"Success Rates at 12 months";"Meta regression";"Arm";"16";"0";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Fixed-effect";"No";"NA";"null (Fixed effect)";"NR";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
